"filename", "language", "GDResource", "GDScene", "Markdown", "gdshader", "GDScript", "Properties", "JSON", "XML", "comment", "blank", "total"
"e:\Projects\ArkPvZ\addons\anim_free_common_tracks\plugin.cfg", "Properties", 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"e:\Projects\ArkPvZ\addons\anim_free_common_tracks\ui\main_panel.gd", "GDScript", 0, 0, 0, 0, 266, 0, 0, 0, 0, 49, 315
"e:\Projects\ArkPvZ\addons\anim_free_common_tracks\ui\main_panel.tscn", "GDScene", 0, 147, 0, 0, 0, 0, 0, 0, 0, 35, 182
"e:\Projects\ArkPvZ\addons\anim_player_refactor\lib\anim_player_refactor.gd", "GDScript", 0, 0, 0, 0, 136, 0, 0, 0, 9, 63, 208
"e:\Projects\ArkPvZ\addons\anim_player_refactor\lib\editor_util.gd", "GDScript", 0, 0, 0, 0, 42, 0, 0, 0, 5, 18, 65
"e:\Projects\ArkPvZ\addons\anim_player_refactor\plugin.cfg", "Properties", 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"e:\Projects\ArkPvZ\addons\anim_player_refactor\plugin.gd", "GDScript", 0, 0, 0, 0, 95, 0, 0, 0, 9, 40, 144
"e:\Projects\ArkPvZ\addons\anim_player_refactor\scenes\autocomplete\autocomplete.gd", "GDScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 6, 18
"e:\Projects\ArkPvZ\addons\anim_player_refactor\scenes\autocomplete\autocomplete_option.gd", "GDScript", 0, 0, 0, 0, 31, 0, 0, 0, 5, 15, 51
"e:\Projects\ArkPvZ\addons\anim_player_refactor\scenes\inspector_button\inspector_button.gd", "GDScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 9, 38
"e:\Projects\ArkPvZ\addons\anim_player_refactor\scenes\refactor_dialogue\components\anim_player_tree.gd", "GDScript", 0, 0, 0, 0, 130, 0, 0, 0, 9, 38, 177
"e:\Projects\ArkPvZ\addons\anim_player_refactor\scenes\refactor_dialogue\components\edit_info.gd", "GDScript", 0, 0, 0, 0, 13, 0, 0, 0, 6, 8, 27
"e:\Projects\ArkPvZ\addons\anim_player_refactor\scenes\refactor_dialogue\components\node_select.gd", "GDScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 10, 31
"e:\Projects\ArkPvZ\addons\anim_player_refactor\scenes\refactor_dialogue\refactor_dialogue.gd", "GDScript", 0, 0, 0, 0, 171, 0, 0, 0, 9, 55, 235
"e:\Projects\ArkPvZ\addons\anim_player_refactor\scenes\refactor_dialogue\refactor_dialogue.tscn", "GDScene", 0, 129, 0, 0, 0, 0, 0, 0, 0, 29, 158
"e:\Projects\ArkPvZ\addons\calculate_roration\calculate_roration.gd", "GDScript", 0, 0, 0, 0, 9, 0, 0, 0, 1, 5, 15
"e:\Projects\ArkPvZ\addons\calculate_roration\plugin.cfg", "Properties", 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"e:\Projects\ArkPvZ\addons\calculate_roration\ui\CR_main_ui.tscn", "GDScene", 0, 35, 0, 0, 0, 0, 0, 0, 0, 11, 46
"e:\Projects\ArkPvZ\addons\calculate_roration\ui\cr_main_ui.gd", "GDScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 7, 34
"e:\Projects\ArkPvZ\addons\script-ide\README.md", "Markdown", 0, 0, 58, 0, 0, 0, 0, 0, 0, 12, 70
"e:\Projects\ArkPvZ\addons\script-ide\icon\class.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\Projects\ArkPvZ\addons\script-ide\icon\class.svg.import", "GDResource", 39, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"e:\Projects\ArkPvZ\addons\script-ide\icon\constant.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\Projects\ArkPvZ\addons\script-ide\icon\constant.svg.import", "GDResource", 39, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"e:\Projects\ArkPvZ\addons\script-ide\icon\engine_func.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\Projects\ArkPvZ\addons\script-ide\icon\engine_func.svg.import", "GDResource", 39, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"e:\Projects\ArkPvZ\addons\script-ide\icon\export.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\Projects\ArkPvZ\addons\script-ide\icon\export.svg.import", "GDResource", 39, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"e:\Projects\ArkPvZ\addons\script-ide\icon\func.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\Projects\ArkPvZ\addons\script-ide\icon\func.svg.import", "GDResource", 39, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"e:\Projects\ArkPvZ\addons\script-ide\icon\func_get.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\Projects\ArkPvZ\addons\script-ide\icon\func_get.svg.import", "GDResource", 39, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"e:\Projects\ArkPvZ\addons\script-ide\icon\func_set.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\Projects\ArkPvZ\addons\script-ide\icon\func_set.svg.import", "GDResource", 39, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"e:\Projects\ArkPvZ\addons\script-ide\icon\property.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\Projects\ArkPvZ\addons\script-ide\icon\property.svg.import", "GDResource", 39, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"e:\Projects\ArkPvZ\addons\script-ide\icon\signal.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\Projects\ArkPvZ\addons\script-ide\icon\signal.svg.import", "GDResource", 39, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"e:\Projects\ArkPvZ\addons\script-ide\override\override_panel.gd", "GDScript", 0, 0, 0, 0, 252, 0, 0, 0, 5, 86, 343
"e:\Projects\ArkPvZ\addons\script-ide\override\override_panel.tscn", "GDScene", 0, 48, 0, 0, 0, 0, 0, 0, 0, 12, 60
"e:\Projects\ArkPvZ\addons\script-ide\plugin.cfg", "Properties", 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"e:\Projects\ArkPvZ\addons\script-ide\plugin.gd", "GDScript", 0, 0, 0, 0, 866, 0, 0, 0, 96, 267, 1229
"e:\Projects\ArkPvZ\addons\script-ide\quickopen\quick_open_panel.gd", "GDScript", 0, 0, 0, 0, 178, 0, 0, 0, 17, 60, 255
"e:\Projects\ArkPvZ\addons\script-ide\quickopen\quick_open_panel.tscn", "GDScene", 0, 126, 0, 0, 0, 0, 0, 0, 0, 23, 149
"e:\Projects\ArkPvZ\addons\script-ide\tabbar\custom_tab.gd", "GDScript", 0, 0, 0, 0, 64, 0, 0, 0, 0, 22, 86
